site,gallery,source_id,url,title,content,author,posted_at,comment_count,meta,comments
theqoo,ktalk/category/1947874,4003043385,https://theqoo.net/ktalk/4003043385?page=196&category=1947874,오 엑디즈콘에 데식왔네,"응원봉 흔드는거ㅋㅋㅋㅋㅋ
https://x.com/erste_pil/status/1992505280836653447",무명의 더쿠,2025-11-23T00:00:00,1,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 272, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003043385?page=196&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003043225,https://theqoo.net/ktalk/4003043225?page=196&category=1947874,ㅅㅂ 내돌도 최근에 루머 퍼트리던 계정들 죄다 특정나라 애들이네,생성시기도 비슷해 몇명이서 자아분열했나,무명의 더쿠,2025-11-23T00:00:00,1,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 222, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003043225?page=196&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003043200,https://theqoo.net/ktalk/4003043200?page=196&category=1947874,우동사리 발언 저거 예전에 플탄거 아니였어?,나 왜 본거같지,무명의 더쿠,2025-11-23T00:00:00,0,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 136, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003043200?page=196&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003043196,https://theqoo.net/ktalk/4003043196?page=196&category=1947874,케이팝 외퀴반응이라고 끌고온 대다수가 그냥,인니 인도 여기야 개웃기다니까,무명의 더쿠,2025-11-23T00:00:00,0,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 148, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003043196?page=196&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003043128,https://theqoo.net/ktalk/4003043128?page=196&category=1947874,명예미국인들 ㄹㅇ 백인선망 심각한 듯,가서 살기라도 하지ㅉ,무명의 더쿠,2025-11-23T00:00:00,1,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 145, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003043128?page=196&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003042985,https://theqoo.net/ktalk/4003042985?page=196&category=1947874,엥 내 계정 대륙으로 바꾸니까 unknown으로 뜨네,다른 계정으로 확인해봄,무명의 더쿠,2025-11-23T00:00:00,0,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 92, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003042985?page=196&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003042947,https://theqoo.net/ktalk/4003042947?page=196&category=1947874,다 파묘되는거 ㅈㄴ 웃기다,국가 뜨는건 괜찮아보이네,무명의 더쿠,2025-11-23T00:00:00,0,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 116, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003042947?page=196&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003042782,https://theqoo.net/ktalk/4003042782?page=196&category=1947874,그 국적 어떻게 확인해?,실시간도 확인가능한거야? 핑프 미안해 ㅠㅠ 근데 모르겟어 ㅠㅠ,무명의 더쿠,2025-11-23T00:00:00,0,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 62, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003042782?page=196&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003042696,https://theqoo.net/ktalk/4003042696?page=196&category=1947874,우리판은 이집트하고 인도가 왜캐많아,신기하네,무명의 더쿠,2025-11-23T00:00:00,2,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 167, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003042696?page=196&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003042314,https://theqoo.net/ktalk/4003042314?page=196&category=1947874,내돌 중국인 홈마 일본에 가있네,지금 가도 괜찮은가....,무명의 더쿠,2025-11-23T00:00:00,4,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 534, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003042314?page=196&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003042186,https://theqoo.net/ktalk/4003042186?page=196&category=1947874,언노운으로 뜨는건 뭐야?,어떻게 하는거지,무명의 더쿠,2025-11-23T00:00:00,3,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 208, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003042186?page=196&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003042165,https://theqoo.net/ktalk/4003042165?page=196&category=1947874,와 내가 싫어하던 계정 캐나다 사람이었네,본인이 한국인인척하던데 이번에 파묘됨,무명의 더쿠,2025-11-23T00:00:00,3,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 350, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003042165?page=196&category=1947874'}",[]
theqoo,ktalk/category/1947874,4003041842,https://theqoo.net/ktalk/4003041842?page=196&category=1947874,트위터 업뎃하면 계정정지 덜하려나ㅜㅜㅜ샤갈 살려주세요,얼른 해본다,무명의 더쿠,2025-11-23T00:00:00,0,"{'board_path': 'ktalk/category/1947874', 'category': '잡담', 'views': 33, 'detail_category': '잡담', 'detail_url': 'https://theqoo.net/ktalk/4003041842?page=196&category=1947874'}",[]
