site,gallery,source_id,url,title,content,author,posted_at,comment_count,meta,comments
dcinside,해외축구_갤러리,4751967,https://gall.dcinside.com/board/view/?id=football_new9&no=4751967&page=1,잠깐상식) 승부차기 1번 키퍼 평균 성공률은 75%다,눈 감고 구석 아무데나 대충 차도 3번은 들어가는 확률을 못 넣고 절뚝거리는 앰창새끼가 하나 있던데 흠.....,ㅇㅇ,2025-11-23T18:08:29,0,"{'views': 56, 'recommendations': 6, 'gallery_id': 'football_new9', 'page_url': 'https://gall.dcinside.com/board/view/?id=football_new9&no=4751967&page=1', 'list_writer': 'ㅇㅇ', 'writer_ip': '(1.248)', 'writer_uid': None, 'list_date_text': '2025-11-23 18:08:29', 'list_views': 56, 'list_recommendations': 6, 'list_comment_count': 2}",[]
dcinside,해외축구_갤러리,4751966,https://gall.dcinside.com/board/view/?id=football_new9&no=4751966&page=1,야구가 여초화된게 심각한 이유.jpg,여초 팬들 비시즌에 저러고 놀고있음,ㅇㅇ,2025-11-23T18:08:29,0,"{'views': 20, 'recommendations': 3, 'gallery_id': 'football_new9', 'page_url': 'https://gall.dcinside.com/board/view/?id=football_new9&no=4751966&page=1', 'list_writer': 'ㅇㅇ', 'writer_ip': '(39.7)', 'writer_uid': None, 'list_date_text': '2025-11-23 18:08:29', 'list_views': 20, 'list_recommendations': 3, 'list_comment_count': None}",[]
dcinside,해외축구_갤러리,4751965,https://gall.dcinside.com/board/view/?id=football_new9&no=4751965&page=1,창민이 pk 실축 후 심정ㅠㅠ,때리지마 때리지마~,ㄷㄷ,2025-11-23T18:08:27,0,"{'views': 30, 'recommendations': 4, 'gallery_id': 'football_new9', 'page_url': 'https://gall.dcinside.com/board/view/?id=football_new9&no=4751965&page=1', 'list_writer': 'ㄷㄷ', 'writer_ip': '(110.2)', 'writer_uid': None, 'list_date_text': '2025-11-23 18:08:27', 'list_views': 30, 'list_recommendations': 4, 'list_comment_count': None}",[]
dcinside,해외축구_갤러리,4751964,https://gall.dcinside.com/board/view/?id=football_new9&no=4751964&page=1,평소처럼 그저 손흥민이 손흥민 했을뿐,새로운짤 공급 ㄱㅅ,해갤러,2025-11-23T18:07:52,0,"{'views': 27, 'recommendations': 5, 'gallery_id': 'football_new9', 'page_url': 'https://gall.dcinside.com/board/view/?id=football_new9&no=4751964&page=1', 'list_writer': '해갤러', 'writer_ip': '(106.102)', 'writer_uid': None, 'list_date_text': '2025-11-23 18:07:52', 'list_views': 26, 'list_recommendations': 5, 'list_comment_count': None}",[]
dcinside,해외축구_갤러리,4751963,https://gall.dcinside.com/board/view/?id=football_new9&no=4751963&page=1,실축은 손흥민이 했는데 왜 밥줌이 나옴?,밥줌이 부정pk 만들었음?,ㅇㅇ,2025-11-23T18:07:46,0,"{'views': 68, 'recommendations': 12, 'gallery_id': 'football_new9', 'page_url': 'https://gall.dcinside.com/board/view/?id=football_new9&no=4751963&page=1', 'list_writer': 'ㅇㅇ', 'writer_ip': '(106.101)', 'writer_uid': None, 'list_date_text': '2025-11-23 18:07:46', 'list_views': 66, 'list_recommendations': 12, 'list_comment_count': 4}",[]
dcinside,해외축구_갤러리,4751962,https://gall.dcinside.com/board/view/?id=football_new9&no=4751962&page=1,차라리 울지 그랬냐?,"2골 넣었으니 팀원들이 위로라도 해주지
난 잘못없다고 절뚝으로 어필은 짜침",해갤러,2025-11-23T18:07:18,0,"{'views': 24, 'recommendations': 3, 'gallery_id': 'football_new9', 'page_url': 'https://gall.dcinside.com/board/view/?id=football_new9&no=4751962&page=1', 'list_writer': '해갤러', 'writer_ip': '(118.235)', 'writer_uid': None, 'list_date_text': '2025-11-23 18:07:18', 'list_views': 24, 'list_recommendations': 3, 'list_comment_count': 1}",[]
dcinside,해외축구_갤러리,4751961,https://gall.dcinside.com/board/view/?id=football_new9&no=4751961&page=1,엠줌마가 확실히 여자라는게 느껴지는게.jpg,"엠줌마 와꾸 까는글 올리면 바로 발작함
노괴피싸개 아니랄까봐 아줌마란 소리에 발작함ㅋㅋ",ㅇㅇ,2025-11-23T18:07:09,0,"{'views': 51, 'recommendations': 9, 'gallery_id': 'football_new9', 'page_url': 'https://gall.dcinside.com/board/view/?id=football_new9&no=4751961&page=1', 'list_writer': 'ㅇㅇ', 'writer_ip': None, 'writer_uid': 'phrase2201', 'list_date_text': '2025-11-23 18:07:09', 'list_views': 50, 'list_recommendations': 8, 'list_comment_count': 2}",[]
dcinside,해외축구_갤러리,4751960,https://gall.dcinside.com/board/view/?id=football_new9&no=4751960&page=1,이강인 득점 묻힌 이유는 간단함,그냥 득점없이도 존나 잘하고 있었어서 별 감흥이 없음ㅋㅋ,해갤러,2025-11-23T18:07:01,0,"{'views': 44, 'recommendations': 5, 'gallery_id': 'football_new9', 'page_url': 'https://gall.dcinside.com/board/view/?id=football_new9&no=4751960&page=1', 'list_writer': '해갤러', 'writer_ip': '(125.240)', 'writer_uid': None, 'list_date_text': '2025-11-23 18:07:01', 'list_views': 44, 'list_recommendations': 5, 'list_comment_count': 3}",[]
dcinside,해외축구_갤러리,4751959,https://gall.dcinside.com/board/view/?id=football_new9&no=4751959&page=1,와 레저선수 피지컬 뭐이리 좋음,흥민이가 밀리네,ㅇㅇ,2025-11-23T18:06:57,0,"{'views': 20, 'recommendations': 1, 'gallery_id': 'football_new9', 'page_url': 'https://gall.dcinside.com/board/view/?id=football_new9&no=4751959&page=1', 'list_writer': 'ㅇㅇ', 'writer_ip': '(106.102)', 'writer_uid': None, 'list_date_text': '2025-11-23 18:06:57', 'list_views': 19, 'list_recommendations': 1, 'list_comment_count': None}",[]
dcinside,해외축구_갤러리,4751958,https://gall.dcinside.com/board/view/?id=football_new9&no=4751958&page=1,손흥민,,ㅇㅇ,2025-11-23T18:06:55,0,"{'views': 28, 'recommendations': 2, 'gallery_id': 'football_new9', 'page_url': 'https://gall.dcinside.com/board/view/?id=football_new9&no=4751958&page=1', 'list_writer': 'ㅇㅇ', 'writer_ip': None, 'writer_uid': 'alclssha004', 'list_date_text': '2025-11-23 18:06:55', 'list_views': 27, 'list_recommendations': 2, 'list_comment_count': 1}",[]
