community,full_text,timestamp,sentence,all_endings,intent,punctuation,symbols,min_prob,last_token_prob,has_oov,needs_manual_intent
dcinside_남자연예인_갤러리,은저씨아들 걍 원숭이상이잖아 씨발련들아 어디서 약을 파노 ㅡㅡ 저렇게 생걋는데 1군 먹은 새끼 본적이 없어,2025-11-23T15:49:11,씨발련들아 어디서 약을 파노 ㅡㅡ 저렇게 생걋는데 1군 먹은 새끼 본적이 없어,"[[""어"", ""EF"", 0.7670246362686157, 0]]",,[],"[""ㅡㅡ""]",0.0,0.7670246362686157,True,True
dcinside_남자연예인_갤러리,은저씨아들 뭔가 좆간이 짜치는게 없긔 간지가 있어,2025-11-23T15:49:04,은저씨아들 뭔가 좆간이,"[[""ㄴ가"", ""EF"", 0.7727822065353394, 0]]",,[],[],0.48599642515182495,0.7727822065353394,True,True
dcinside_남자연예인_갤러리,은저씨아들 뭔가 좆간이 짜치는게 없긔 간지가 있어,2025-11-23T15:49:04,좆간이 짜치는게 없긔 간지가 있어,"[[""어"", ""EF"", 0.8284134864807129, 0]]",,[],[],0.4689088463783264,0.8284134864807129,True,True
dcinside_남자연예인_갤러리,턱람시녀들 ㄹㅇ애교줌닮았다고 빠나봄 글케 우악스러운 턱과 얼굴틀을.. 모녀로 좆라마해달란거보고 개웃창,2025-11-23T15:48:56,턱람시녀들 ㄹㅇ애교줌닮았다고,"[[""(으)ㅁ"", ""EF"", 0.9812580347061157, 0]]",,[],"[""ㄹㅇ""]",0.6535283923149109,0.9812580347061157,True,True
dcinside_남자연예인_갤러리,턱람시녀들 ㄹㅇ애교줌닮았다고 빠나봄 글케 우악스러운 턱과 얼굴틀을.. 모녀로 좆라마해달란거보고 개웃창,2025-11-23T15:48:56,빠나봄 글케 우악스러운 턱과 얼굴틀을..,[],,"[""..""]",[],0.0,0.5617250204086304,True,True
dcinside_남자연예인_갤러리,턱람시녀들 ㄹㅇ애교줌닮았다고 빠나봄 글케 우악스러운 턱과 얼굴틀을.. 모녀로 좆라마해달란거보고 개웃창,2025-11-23T15:48:56,모녀로 좆라마해달란거보고 개웃창,[],,[],[],0.0,0.5302876830101013,True,True
dcinside_남자연예인_갤러리,짹창 외퀴들 누구 빠는지 상관없이 국적보고있는데 아직까지 쌀국유럽년들 본 적이 없긔; 여태 아시아 아닌데는 남아메리카 하나봤고 다 인니 인도 필리핀 캄보디아 ㅇㅈㄹ임 진짜 케이팝으로 국뽕 왜쳐먹는거긔;;;;,2025-11-23T15:48:52,짹창 외퀴들 누구 빠는지,"[[""는지"", ""EF"", 0.8415035009384155, 0]]",,[],[],0.5388599038124084,0.8415035009384155,True,True
dcinside_남자연예인_갤러리,짹창 외퀴들 누구 빠는지 상관없이 국적보고있는데 아직까지 쌀국유럽년들 본 적이 없긔; 여태 아시아 아닌데는 남아메리카 하나봤고 다 인니 인도 필리핀 캄보디아 ㅇㅈㄹ임 진짜 케이팝으로 국뽕 왜쳐먹는거긔;;;;,2025-11-23T15:48:52,상관없이 국적보고있는데 아직까지 쌀국유럽년들 본 적이 없긔;,"[[""긔"", ""EF"", 0.5645736455917358, 1]]",,[],[],0.49394097924232483,0.8658944368362427,True,True
dcinside_남자연예인_갤러리,짹창 외퀴들 누구 빠는지 상관없이 국적보고있는데 아직까지 쌀국유럽년들 본 적이 없긔; 여태 아시아 아닌데는 남아메리카 하나봤고 다 인니 인도 필리핀 캄보디아 ㅇㅈㄹ임 진짜 케이팝으로 국뽕 왜쳐먹는거긔;;;;,2025-11-23T15:48:52,여태 아시아 아닌데는 남아메리카 하나봤고 다 인니 인도 필리핀 캄보디아 ㅇㅈㄹ임 진짜 케이팝으로 국뽕 왜쳐먹는거긔;;;;,[],,[],"[""ㅇㅈㄹ""]",0.0,0.6426025032997131,True,True
dcinside_남자연예인_갤러리,족까 은숙이 닮았긔 은숙이한테서 킴숙 빠진 ㅌㅊ,2025-11-23T15:48:49,족까 은숙이 닮았긔,"[[""긔"", ""EF"", 0.47478723526000977, 1]]",,[],[],0.47478723526000977,0.47478723526000977,True,True
dcinside_남자연예인_갤러리,족까 은숙이 닮았긔 은숙이한테서 킴숙 빠진 ㅌㅊ,2025-11-23T15:48:49,은숙이한테서 킴숙 빠진 ㅌㅊ,[],,[],"[""ㅌㅊ""]",0.62949538230896,0.7933152914047241,True,True
dcinside_남자연예인_갤러리,퇴공은 죄범이네로 못넘어옴 약창년들이 빠는건 약국스타일은 살짝 뽕끼나야됨 머중성타는건 이쪽이고 근데 죄범이는 극단적으로 아예 뽕끼도 없고 완전 심심한쪽이긔 보컬도 이쪽은 완전 힘뺀 어 퇴공처럼 차트 못씹어먹어 죄범이네 리스너는 한정적임,2025-11-23T15:48:37,퇴공은 죄범이네로 못넘어옴,"[[""(으)ㅁ"", ""EF"", 0.9930568933486938, 0]]",,[],[],0.5096734166145325,0.9930568933486938,True,True
